,Lot Number,Product,Date,Shop Order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1,09G189482,PT00096177,20190816,189482,0,RM004,FS10002952,R1800,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
2,18C16263X,8881907102,20190901,182831,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
3,18C16363X,8881907102,20190901,182832,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
4,18C16463X,8881907102,20190901,182833,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
5,18E20563X,8881112059,20191231,183763,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
6,18E20663X,8881112059,20191231,183764,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
7,18E20763X,8881112059,20191231,183765,0,0301009,FS10017441,EXP5001,,,,,X9901,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
8,18G10763,85121,20190123,184437,15000.000,RM004,FS10003096,R1246D,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
9,18G12463,8934,20190219,184455,15200.000,RM160,FS10003181,R1292D,RM220,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
10,18G20663,1522SA,20190102,184563,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
11,18H07763,31378089,20190107,184778,375645.192,RM157,FS10028268,R1750,PT00065936,,,PT00006659,,,CL63R98461A,,R7611,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
12,18H08163,8900SA,20190116,184782,2520.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
13,18H11463,31180378,20190102,184830,1080.000,RM160,FS10006143,RM112,PT00062563,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
14,18H11663,31323358,20190218,184832,290702.196,RM004,FS10006098,,RM260,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
15,18H11763,31353603,20190130,184833,381129.420,RM032,FS10006109,,RM170,,,,,,PT00067913,,PT00069525,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
16,18H13063,85221,20190123,184848,7200.000,RM004,FS10003117,,,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
17,18H13563,8900SA,20190220,184853,1620.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
18,18H14463,8989CRH,20190109,184862,1470.000,RM165,FS10028282,R1700,,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
19,18H18963X,8881540122,20190327,184936,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
20,18H19063X,8881540122,20190116,184937,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
21,18H22063X,6492739,20190123,184986,0,,FS20003060,,,,,,PT00033969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
22,18H22163X,6492739,20190123,184987,0,,FS20003060,,,,,,PT00033969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
23,18H22463,31144010,20190117,184990,77760.000,RM032,FS10006041,PT00005527,RM170,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
24,18J07563,8303SA,20190109,185100,36348.786,RM157,FS10003077,R1378B,PT00065936,,,,,,PT00052518,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
25,18J07863,8935Y,20190110,185103,0,RM160,FS10003183,R1292D,RM220,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
26,18J09163,8790,20190213,185118,5600.000,RM093,FS10003347,R1528A,RM025,,,,,,PT00006671,,R7089W-1,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
27,18J09463,8967MW,20190213,185121,5980.000,RM165,FS10003200,R1300D,,,,,,,PT00006610,,WP8965MW,,,,,,,,,,,R4415,,R7028NMW,,,,,,,,,,,Containers
28,18J11663,8967Y,20190109,185165,23760.000,RM171,FS10003201,R1300D,RM260,,,,,,PT00006610,,WP8965U,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
29,18J18163,8791,20190116,185240,3480.019,RM157,FS10006442,R1700,RM025,,,,,,PT00006671,,PT00016495,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
30,18J18563,31300919,20190130,185249,33840.000,RM106,FS10006050,PT00005525,RM260,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
31,18J21163X,6492739,20190123,185275,99.000,0301001,FS20003060,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
32,18J21363X,4502476,20190204,185277,0,0301001,FS10020813,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
33,18J22163,8998,20190109,185284,8330.000,RM093,FS10003239,R1700,PT00065936,,,,,,PT00012138,,PT00013703,,,,,,,,,,,R4415,,,WP8999,,,,,,,,,,Containers
34,18J22263,8998PG2,20190109,185285,1722.000,RM176,FS10003738,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
35,18J22863,8985CRS,20190102,185291,162639.360,RM165,FS10028283,R1644A,,,,,,,PT00012137,,WP7449,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
36,18J22963,31300878,20190204,185292,0,RM171,FS10002818,PT00044733,RM260,,,,,,PT00006643,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
37,18J23163,85321R,20190206,185294,4200.000,RM032,FS10003132,R1308D,RM170,,,,,,PT00006610,,WP8520N02,,,,,,,,,R1075,,R4415,,,,,,,,,,,,,Containers
38,18K04863,31143665,20190206,185384,2625.000,RM157,FS10006135,RM054,PT00065936,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
39,18K07163,1522SA,20190114,185418,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
40,18K07263,8506SA,20190211,185419,54573.398,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
41,18K08663,8836SA,20190121,185439,0,RM093,FS10006504,CL63R1779,PT00065943,,,PT00068805,X98146,,CL63R98234,,,,,,,,,,,R5098,,R4415,,,,,,,,,,,,,Containers
42,18K08763,8932PG2,20190109,185440,6280.000,RM129,FS10003746,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
43,18K13063,065,20190116,185509,1001.000,RM160,FS20001323,CL63R1771,PT00065936,,,PT00034306,,,PT00034305,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
44,18K13863,1522SA,20190121,185517,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
45,18K13963,V8870,20190117,185518,2380.000,RM020,FS10029848,CL63R1769B,PT00065942,,,PT00006652,,,CL63R98234,,PT00013699,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
46,18K14163,31314886,20190213,185520,729485.375,RM106,FS10006080,,RM170,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
47,18K14563,8906,20190130,185524,612.000,RM160,FS10003169,CL63R1796,RM026,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
48,18K18263X,1181200777,20190123,185589,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
49,18K18563X,1181200777,20190116,185592,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
50,18K18763X,1181200777,20190123,185594,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
51,18K18963,8938,20190109,185596,25410.000,RM093,FS10003185,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
52,18K19063,047,20190130,185599,62780.000,RM093,FS10026366,R1528A,PT00065936,,,PT00034301,,,PT00034377,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
53,18K19263,31142222,20190125,185601,28000.000,RM093,FS10026364,R1528A,PT00065936,,,,X98151,,PT00033501,,WP7102,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
54,18K19463,31353611,20190130,185603,132633.037,RM106,FS10006111,,RM260,,,,,,PT00067913,,PT00069525,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
55,18K19563,8541SA,20190130,185604,1212.000,RM032,FS10007851,,RM170,,,,,,PT00006610,,WP8540,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
56,18K19663,8550B,20190206,185605,250.000,,FS10003143,R1293D,,R8550LGB,,,,,,,,,,,,,,,,,,PT00006674,,,,,,,,,,,,,Containers
57,18K20163,8982CRH,20190211,185610,184203.685,RM093,FS10028277,R1528A,PT00065936,,,,,,PT00006655,,,,,,,,,,,R5098,,R4415,,,WP8982,,,,,,,,,,Containers
58,18K20363,80-8705,20190102,185612,900.000,RM165,DC00041675,R1644A,,,,PT00046145,,,PT00034294,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
59,18K20563,8980,20190206,185614,49400.000,RM129,FS10003210,R1644A,PT00065936,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
60,18K20663,8985SPG2,20190116,185615,2700.000,RM157,FS10003745,R1644A,RM220,,,,,,PT00012137,,WP7449,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
61,18K22663,1522SA,20190211,185644,42111.015,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
62,18K22863,31317483,20190214,185646,86105.789,RM004,FS10006087,,RM260,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
63,18K23063,31323176,20190116,185648,9720.000,RM032,FS10006055,PT00005527,RM170,,,PT00047930,,,PT00033502,,WP7605,,,,,,,,,R1679,,,,,,,,,,,,,,,Containers
64,18K23163,31323333,20190225,185649,300400.929,RM106,FS10006090,,RM170,,,,,,PT00067913,,PT00075579,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
65,18K23463,8507SA,20190102,185652,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
66,18K23563,85221R,20190123,185653,61740.000,RM032,FS10003118,,RM170,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
67,18K23663,8522Y,20190109,185654,5400.000,RM171,FS10003120,,RM260,,,,,,PT00006610,,WP8520U,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
68,18K23863,8537SA,20190204,185656,100077.120,RM032,FS10003139,CL63R1780,RM170,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
69,18K24363,8920SA,20190219,185660,77918.726,RM093,FS10003174,R1160D,PT00065936,,,PT00068806,,,CL63R9876B,,WP8920,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
70,18K24563,8950SA,20190218,185662,246990.910,RM031,FS10003190,R1306D,PT00065936,,,PT00068806,,,CL63R9876B,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
71,18K25363X,4502575,20190102,185670,141000.000,0301001,DC00071388,5542735,,,,,,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
72,18K28163,31323168,20190102,185711,705.000,RM157,FS10006146,RM054,PT00065936,,,PT00047930,,,PT00067912,,WP4810,,,,,,,,,,,,,,,,,,,,,,,,Containers
73,18K28363,8506SA,20190205,185713,115663.021,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
74,18K28963,8985S,20190115,185719,12080.000,RM093,FS10003224,R1644A,RM220,,,,,,PT00012137,,WP7449,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
75,18K29063,8989,20190103,185720,0,RM093,FS10003226,R1690,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
76,18K29163,V8512,20190116,185721,6240.000,RM004,FS10003252,CL63R1040,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
77,18K29363,V8980,20190109,185723,7560.000,RM093,FS10003256,RM054,PT00065936,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
78,18L04963X,8881907102,20190102,185775,0,,FS10017466,EXP5013,,,,,EXP6021,,,,,,,,,,,,,,PT00009994,PT00004155,,,,,,,,,,,,,Syringe
79,18L05463,1522SA,20190328,185780,40373.425,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
80,18L05963,8506SA,20190107,185785,95299.814,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
81,18L06063,8507SA,20190107,185786,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
82,18L06163,8507SA,20190304,185787,111590.379,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
83,18L06363,851301,20190102,185789,10000.000,RM032,FS10003099,R1320D,RM170,,,,,,PT00006610,,WP851201N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
84,18L06463,8534SA,20190204,185790,8895.744,RM032,FS10003134,R1705,RM170,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
85,18L06663,8618RC,20190213,185792,10500.000,RM176,FS10021632,R1700,RM074,,,,,,PT00006651,,WP7417P,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
86,18L06863,8939,20190204,185794,0,RM093,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
87,18L06963,89671,20190213,185795,41400.000,RM106,FS10003199,R1300D,RM170,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
88,18L07163,8980,20190301,185797,41580.000,RM129,FS10003210,R1644A,PT00065936,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
89,18L07363,8985,20190122,185799,569191.702,RM093,FS10003221,R1644A,RM220,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
90,18L07463,8989PG2,20190123,185800,7700.000,RM176,FS10003741,R1700,PT00062563,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
91,18L07763X,8881112599,20190102,185817,0,,FS10028544,EXP6001,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
92,18L09463,8851,20190109,185841,10400.000,RM020,FS10021628,R1644A,PT00065942,,,PT00006652,,,CL63R98234,,WP7450BL,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
93,18L09963,V8506,20190109,185859,40726.416,RM004,FS10029846,CL63R1767A,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
94,18L10363X,8881512852,20190102,185868,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
95,18L10463X,8881512852,20190102,185869,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
96,18L10563X,8881512852,20190102,185870,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
97,18L10663X,8881512852,20190130,185871,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
98,18L10763X,8881512852,20190102,185872,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
99,18L11563X,8881112083,20190123,185881,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
100,18L11663X,6492743,20190109,185882,0,0301001,FS20003116,5000109,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
101,18L11763X,1181200777,20190116,185883,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
102,18L11963X,1181200777,20190123,185885,0,,FS10017237,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
103,18L12263,8536SA,20190207,185888,13323.024,RM004,FS10003137,CL63R1780,,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
104,18L12463,8612RC,20190213,185890,4400.000,RM129,FS10021634,R1292D,RM074,,,,,,PT00006651,,WP7417P,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
105,18L12863,8535Y,20190213,185901,7200.000,RM004,FS10003136,R1317D,RM260,,,,,,PT00012105,,WP8526,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
106,18L13063X,4502570,20190109,185906,0,,DC00056758,EXP5013,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,,,,,,,,,,,,,Syringe
107,18L13863,8980S,20190109,185914,20880.000,RM093,FS10003214,RM054,PT00065936,,,,,,PT00006635,,WP7445,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
108,18L14063,8608RC,20190206,185918,7200.000,RM129,FS10021636,R1644A,RM074,,,,,,PT00006651,,WP7449,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
109,18L14363X,8881112518,20190309,185922,504.000,0301001,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4001204,,,,,,,,,,,,Syringe
110,18L14663X,4501820,20190107,185926,0,0301001,FS20004491,5000109,0400145,,,,4230505,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
111,18L14863X,412SE,20190116,185928,6218.471,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
112,18L15263,85021,20190116,185933,6000.000,RM004,FS10003080,R1324D,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
113,18L15463,8507SA,20190114,185935,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
114,18L15663,8540SA,20190130,185937,84.000,RM004,FS10007848,,,,,,,,PT00006610,,WP8540,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
115,18L15763,8820,20190102,185938,41169.678,RM020,FS10003159,R1528A,PT00065942,,,PT00068803,,,CL63R98234,,WP8825,,,,,,,,,R5098,,R4415,,,,,,,,,,,,,Containers
116,18L15863,8870,20190104,185939,2800.000,RM020,FS10003163,R1700,PT00065942,,,PT00006652,,,CL63R98234,,PT00013699,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
117,18L15963,8931,20190203,185940,11600.000,RM160,FS10003177,R1292D,RM220,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
118,18L16263,8964,20190123,185943,4800.000,RM165,FS10003195,R1471B,,,,,,,PT00006610,,WP8964,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
119,18L16363,8980Y,20190213,185944,7200.000,RM093,FS10003215,R1644A,RM220,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
120,18L16463,8985CRH,20190206,185945,108727.424,RM165,FS10028280,R1644A,,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
121,18L16763,8989,20190111,185948,9940.000,RM093,FS10003226,R1690,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
122,18L16863,8997S,20190213,185949,2700.000,RM093,FS10003238,RM054,PT00065936,,,,,,PT00012137,,WP7450,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
123,18L17663,851201,20190213,185971,7000.000,RM004,FS10003094,R1320D,,,,,,,PT00006610,,WP851201N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
124,18L17763,8939PG2,20190213,185972,0,RM176,FS10003740,R1700,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
125,18L18063,31143699,20190213,185977,49408.000,RM157,FS10007061,R1697,PT00065936,,,,,,PT00033501,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
126,18L18163,31143798,20190206,185978,420.000,RM160,FS10006136,RM112,PT00062563,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
127,18L18363,8303SA,20190204,185980,36348.785,RM157,FS10003077,R1378B,PT00065936,,,,,,PT00052518,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
128,18L18563,8506SA,20190125,185982,54777.030,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
129,18L18663,8506Y,20190102,185983,54573.398,RM106,FS10003085,CL63R1776,RM260,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
130,18L18763,8507SA,20190128,185984,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
131,18L18863,85131,20190123,185985,24800.000,RM032,FS10003101,R1246D,RM170,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
132,18L18963,85221R,20190220,185986,50400.000,RM032,FS10003118,,RM170,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
133,18L19463,8850,20190213,185991,9540.000,RM020,FS10003161,R1644A,PT00065942,,,PT00006652,,,CL63R98234,,PT00013696,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
134,18L19563,8860,20190123,185992,4800.000,RM020,FS10003162,R1292D,PT00065942,,,PT00006652,,,CL63R98234,,PT00013699,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
135,18L19763,89651,20190213,185994,16920.000,RM093,FS10003196,R1300D,PT00065936,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
136,18L20063,8991,20190121,185997,0,RM129,FS10003231,R1700,PT00065936,,,,,,PT00012105,,WP7483,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
137,18L20263,V8985,20190206,185999,14580.000,RM093,FS10003257,CL63R1654,RM220,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
138,18L20363X,8881512852,20190102,186022,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
139,18L20463X,8881512852,20190306,186023,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
140,18L20563X,8881512852,20190102,186024,0,,FS10011725,EXP6020,,,,,PT00033971,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
141,18L20663X,8881512852,20190130,186025,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
142,18L20763X,8881512852,20190216,186026,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
143,18L20863X,8881512852,20190220,186027,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
144,18L20963X,8881540122,20190116,186028,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
145,18L21063X,8881540122,20190123,186029,0,,FS10024556,EXP6020,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,,4001801,,,,,,,,,,,,Syringe
146,18L21463,8537Y,20190123,186039,1256.000,RM004,FS10002974,CL63R1780,RM260,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
147,18L21663,8537SA,20190304,186041,123428.448,RM032,FS10003139,CL63R1780,RM170,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
148,18L21963,8527R,20190123,186045,8820.000,RM032,FS10003126,PT00049846,RM170,,,,,,PT00012105,,WP8526,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
149,18L22063,8617U,20190123,186046,2100.000,RM176,FS20001169,R1700,RM074,,,,,,PT00067916,,PT00013694,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
150,18L22263,8980S,20190213,186048,19800.000,RM093,FS10003214,RM054,PT00065936,,,,,,PT00006635,,WP7445,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
151,18L22363,31156916,20190206,186049,15120.000,RM093,FS10026367,R1528A,PT00065936,,,PT00047930,,,CL63RR98416,,WP7102,,,,,,,,,,,,,,,,,,,,,,,,Containers
152,18L22463,31300878,20190220,186050,0,RM171,FS10002818,PT00044733,RM260,,,,,,PT00006643,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
153,18L22563,31156550,20190213,186051,1290.000,RM157,FS10006137,RM054,PT00065936,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
